"journal-article-10.2307_237999-ngram1.txt","Current Bibliography of the History of Science and Its Cultural Influences, 1997"
"journal-article-10.1086_680345-ngram1.txt","Current Bibliography of the History of Science and Its Cultural Influences, 2014"
"journal-article-10.2307_25282576-ngram1.txt","Volume Information"
"journal-article-10.2307_1846018-ngram1.txt","Other Recent Publications"
"journal-article-10.2307_25406066-ngram1.txt","Volume Information"
"journal-article-10.2307_44114208-ngram1.txt","REPARACIÓN INTEGRAL DE NIÑOS VÍCTIMAS DE LOS DELITOS SEXUALES EN COLOMBIA. RESTRICCIONES Y POSIBILIDADES A LA LUZ DE LA JURISPRUDENCIA / INTEGRAL REPARATION OF CHILDREN VICTIMS OF SEXUAL OFFENCES IN COLOMBIA. RESTRICTIONS AND POSSIBILITIES IN THE LIGHT OF THE JURISPRUDENCE"
"journal-article-10.2307_797618-ngram1.txt","Architecture as Crime Control"
"journal-article-10.2307_1147696-ngram1.txt","Women's Imprisonment"
"journal-article-10.2307_1123799-ngram1.txt","The Perverse Law of Child Pornography"
"journal-article-10.2307_1147709-ngram1.txt","The Effects of Miranda v. Arizona: \"Embedded\" in Our National Culture?"
"journal-article-10.2307_1340026-ngram1.txt","Front Matter"
"journal-article-10.2307_1147488-ngram1.txt","Drug Testing by the Criminal Justice System: Methods, Research, and Applications"
"journal-article-10.2307_1138545-ngram1.txt","Gambling. Should It Be Legalized?"
"book-chapter-10.2307_j.ctt1t892hf.6-ngram1.txt","book-chapter-10.2307_j.ctt1t892hf.6-ngram1.txt"
"book-chapter-10.2307_j.ctv4v31f2.21-ngram1.txt","book-chapter-10.2307_j.ctv4v31f2.21-ngram1.txt"
"journal-article-10.2307_20722456-ngram1.txt","COUNTERING THE MAJORITARIAN DIFFICULTY"
"journal-article-10.2307_1339727-ngram1.txt","Front Matter"
"journal-article-10.2307_3488346-ngram1.txt","Youth Justice in Great Britain"
"journal-article-10.2307_1144201-ngram1.txt","Constitutional Road Maps"
"journal-article-10.2307_25073850-ngram1.txt","Scholarly Papers"
"journal-article-10.2307_1134421-ngram1.txt","Minor Survey of the Administration of Criminal Justice in Hartford, New Haven and Bridgeport"
"journal-article-10.2307_20756165-ngram1.txt","Jugendkriminalstatistiken und ihre Interpretation. Zur Entwicklung der Jugendkriminalität in Deutschland und England in der zweiten Hälfte des 19. und im frühen 20. Jahrhundert"
"journal-article-10.2307_27889862-ngram1.txt","PRISON ET PÉNALITÉS: DE LA PÉNOLOGIE A UNE SOCIOLOGIE DES POLITIQUES PÉNALES"
"journal-article-10.2307_40407203-ngram1.txt","Scholarly Papers"
"book-chapter-10.2307_j.ctv19x4dr.10-ngram1.txt","book-chapter-10.2307_j.ctv19x4dr.10-ngram1.txt"
"journal-article-10.2307_1338321-ngram1.txt","Front Matter"
"journal-article-10.2307_1167429-ngram1.txt","Bibliography on Psychological Tests and Their Uses"
"journal-article-10.2307_2064018-ngram1.txt","Volume Information"
"journal-article-10.2307_227180-ngram1.txt","Seventy-Eighth Critical Bibliography of the History and Philosophy of Science and of the History of Civilization (To December 1951)"
"journal-article-10.2307_1336557-ngram1.txt","Front Matter"
"journal-article-10.2307_40182910-ngram1.txt","Procedimientos interpretativos y reglas normativas en la negociación del \"status\" y rol"
"journal-article-10.2307_23364853-ngram1.txt","THE INNOCENCE EFFECT"
"journal-article-10.2307_3733156-ngram1.txt","In Search of the Historical Kafka: A Selective Review of Research, 1980-92"
"journal-article-10.2307_3320472-ngram1.txt"," Nouvelles perspectives en sociologie de la déviance"
"journal-article-10.2307_1147664-ngram1.txt","Crime and Public Transport"
"journal-article-10.2307_758772-ngram1.txt","Index of Books Reviewed"
"journal-article-10.2307_838448-ngram1.txt","Current Literature"
"journal-article-10.2307_26250740-ngram1.txt","L’ENFANT ILLÉGITIME ET SES PARENTS. TENDANCES EUROPÉENNES ET COLONIALES AU XIXeSIÈCLE, AU SEIN DES MODÈLES SÉCULAIRES D’ILLÉGITIMITÉ"
"journal-article-10.2307_1290406-ngram1.txt","When Constitutional Worlds Collide: Resurrecting the Framers' Bill of Rights and Criminal Procedure"
"journal-article-10.2307_25389711-ngram1.txt","Volume Information"
"journal-article-10.2307_797532-ngram1.txt","The Storrs Lectures: Liberals and Romantics at War: The Problem of Collective Guilt"
"journal-article-10.2307_26297900-ngram1.txt","Bibliography"
"journal-article-10.2307_1337046-ngram1.txt","Front Matter"
"journal-article-10.2307_828719-ngram1.txt","Too Little, Too Late: Prosecutors' Pre-Court Preparation of Rape Survivors"
"journal-article-10.2307_1147672-ngram1.txt","Understanding Desistance from Crime"
"journal-article-10.2307_2112686-ngram1.txt","School Delinquency and School Commitment"
"journal-article-10.2307_1336022-ngram1.txt","Front Matter"
"journal-article-10.2307_43122036-ngram1.txt","LA CONFORMATION DES GOUVERNÉS: UNE REVUE DE LA LITTÉRATURE THÉORIQUE"
"journal-article-10.2307_1336684-ngram1.txt","Front Matter"
"journal-article-10.2307_1336716-ngram1.txt","Front Matter"
"journal-article-10.2307_42892938-ngram1.txt","A Bibliography of Narrative"
"journal-article-10.2307_1143567-ngram1.txt","The Juvenile Court Meets the Principle of the Offense: Legislative Changes in Juvenile Waiver Statutes"
"journal-article-10.2307_24010712-ngram1.txt","KRIMINALSOZIOLOGISCHE BIBLIOGRAFIE"
"journal-article-10.2307_26297960-ngram1.txt","Bibliography"
"journal-article-10.2307_1337649-ngram1.txt","Front Matter"
"journal-article-10.2307_20468269-ngram1.txt","When Rape Isn't Rape: Court of Appeal Sentencing Practice in Cases of Marital and Relationship Rape"
"journal-article-10.2307_40783025-ngram1.txt","Explaining the Great American Crime Decline: A Review of Blumstein and Wallman, Goldberger and Rosenfeld, and Zimring"
